Sounding,11.9,5.8,14.5,13.5,3.56,3.82,2.85,7.8,6.75,2.79,5,2.49,6.5,8.02,6.38,4.1,2,2.3,10,10,2.3,3.5,2.8,1.9,1.9,3.5,3.5,3.5,5.2,5.2,6.7,6.7,6.2,5.3,5.3,4.1,3.5,3.5,2.1,2.1,1.8,1.8,1.7,1.7,6.5,6.5,5,5,5,5,5,5,4.8,4.8,3.5,2.3,2.3,5,3.5,2.5,2.5,5,5,3.5,3.5,2.7,2.7,2,2
Analysis,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3,A3
Collection,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
Preservation,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
Storage,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2,S2
Sample Type,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
Ancillary Data,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Units,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
IDs,306346,306384,306386,306388,356094,356094,356095,356096,356135,356135,356138,356143,356145,356154,356156,16378,16533,16535,16536,16537,16538,16539,16541,16542,16543,16588,16589,16591,16592,16593,16594,16595,16596,16597,16598,16599,16854,16855,16856,16857,16859,16861,16862,16863,16865,16866,16867,16868,16869,16871,16872,16873,16874,16875,16877,16878,16879,16881,16882,16884,16885,16888,16889,16891,16892,16893,16894,16895,16896
Core #,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Filter #,14632,14638,14655,14625,16471,16557,16472,16584,16474,16386,16381,16553,16396,16473,16470,16378,16533,16535,16536,16537,16538,16539,16541,16542,16543,16588,16589,16591,16592,16593,16594,16595,16596,16597,16598,16599,16854,16855,16856,16857,16859,16861,16862,16863,16865,16866,16867,16868,16869,16871,16872,16873,16874,16875,16877,16878,16879,16881,16882,16884,16885,16888,16889,16891,16892,16893,16894,16895,16896
Filter SPM (g/m^3),0.56,0.57,0.51,0.44,0.1,0.08,0.1,0.26,0.22,0.14,0.21,0.41,0.05,0.25,0.05,0.06,0.06,0.06,0.1,0.07,0.1,0.13,0.12,0.11,0.06,0.25,0.05,0.21,0.02,0.09,0.01,0.08,0.02,0.01,0.05,0.02,0.02,0.09,0.06,0.16,0.03,0.11,0.03,0.09,0.01,0.08,0.03,0.04,2.1,3.1,0.02,0.05,0.04,0.04,0.15,0.09,0.06,0.01,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76,2.0185,1.9419,1.8938,1.5779,1.1435,0.5125,0.8759,0.6235,1.395,0.6922,0.844,0.4902,0.693,1.6045,0.2932,0.6781,0.3889,0.3169,0.4527,0.2819,0.2484,0.5279,0.5559,0.6524,0.3683,1.6313,0.0092,1.3242,0.2878,0.7014,0.0734,0.63,0.1139,0.4565,0.1247,0.1702,0.068,0.7498,0.4556,1.857,0.3679,0.6369,0.2203,0.6269,0.0613,0.5041,0.3075,0.3147,14.2544,15.6388,0.1205,0.4223,0.1896,0.0069,0.8218,0.4898,0.4467,0.1241,0.8736,0.377,0.9864,0.1643,0.473,0.1907,0.2878,0.1913,0.1909,0.2751,0.2395
0.87,2.094,2.1084,1.9736,1.6206,1.0756,0.5874,0.9074,0.716,1.3261,0.77,0.9426,0.5628,0.721,1.5965,0.3046,0.737,0.4399,0.3615,0.5056,0.3127,0.2825,0.6196,0.6343,0.747,0.4085,1.8214,0.0098,1.5108,0.3374,0.7744,0.0835,0.7173,0.1338,0.5292,0.1434,0.1971,0.0749,0.8084,0.5018,2.077,0.4146,0.7088,0.2452,0.7055,0.07,0.5727,0.35,0.3493,16.009,17.7206,0.1414,0.4794,0.2112,0.0073,0.9107,0.5459,0.4811,0.1486,0.9856,0.3881,1.1152,0.1813,0.5201,0.2204,0.3374,0.2153,0.211,0.3008,0.2693
1,2.3041,2.3579,2.0548,1.7332,1.1269,0.667,0.9569,0.8349,1.4251,0.8869,1.0816,0.6351,0.8279,1.7381,0.3205,0.8202,0.4917,0.4095,0.5555,0.347,0.3178,0.7439,0.7266,0.8416,0.4571,2.0983,0.0097,1.7271,0.3845,0.8709,0.0962,0.8227,0.1568,0.6103,0.1621,0.2297,0.0844,0.8748,0.5754,2.3913,0.466,0.7808,0.2658,0.7995,0.0813,0.6388,0.3896,0.3825,18.3232,19.7008,0.1594,0.5383,0.2332,0.0081,1.0258,0.6137,0.5375,0.1747,1.1019,0.4176,1.2372,0.205,0.5697,0.2441,0.3845,0.24,0.2378,0.3321,0.3023
1.15,2.5161,2.6078,2.2311,1.8502,1.2082,0.7547,1.0317,0.9671,1.5766,0.9989,1.2339,0.7231,0.9723,1.8706,0.3321,0.9151,0.5519,0.4583,0.6285,0.383,0.3543,0.8725,0.8194,0.9388,0.5093,2.3062,0.0103,1.9679,0.4415,0.9863,0.1089,0.9417,0.183,0.6811,0.1837,0.26,0.0946,0.9842,0.6641,2.6764,0.5157,0.8777,0.2874,0.8737,0.0911,0.7146,0.4376,0.4314,19.4151,21.8541,0.1834,0.5966,0.2644,0.0089,1.1138,0.6754,0.5875,0.1968,1.2032,0.4558,1.3839,0.2316,0.6198,0.2775,0.4415,0.2704,0.2605,0.3616,0.3369
